episode_index,stage,token,old_v1_quality_score,criterion_1_name,raw_criterion_1_score,final_criterion_1_score,criterion_2_name,raw_criterion_2_score,final_criterion_2_score,criterion_3_name,raw_criterion_3_score,final_criterion_3_score,criterion_4_name,raw_criterion_4_score,final_criterion_4_score,raw_quality_score,raw_visibility_confidence,raw_review_note,temporal_reviewed,final_quality_score,final_label_confidence,adjudication_changed_score,adjudication_reason,retained_start_frame,retained_end_frame_exclusive,source_start_frame,source_end_frame_exclusive
0,side_one,7f96d21fcf,3,lateral_placement,2,2,sleeve_side_containment,2,2,longitudinal_alignment,2,2,flatness_body_preservation,2,2,5,high,Flat stable and consistently aligned.,True,5,medium,False,Temporal three-camera review confirmed the raw criterion scores.,0,132,257,389
0,side_two,556ef21935,2,second_side_placement,1,1,second_sleeve_containment,1,1,preservation_bilateral_alignment,1,1,flatness_straightness,1,1,3,high,Completed strip but broad and visibly uneven.,False,3,medium,False,,132,681,389,938
0,bottom_to_top,affb663a2f,1,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,0,0,flatness_stability,0,0,1,high,Severely bunched pile-like final result.,False,1,medium,False,,681,892,938,1149
1,side_one,5df102a4aa,4,lateral_placement,2,2,sleeve_side_containment,1,1,longitudinal_alignment,1,1,flatness_body_preservation,1,1,3,high,Correct placement but moderate bunching and taper.,False,3,medium,False,,0,269,1601,1870
1,side_two,1e1ebe93c2,4,second_side_placement,2,2,second_sleeve_containment,1,1,preservation_bilateral_alignment,2,2,flatness_straightness,2,2,4,high,Flat straight strip with one contained-edge defect.,False,4,medium,False,,269,961,1870,2562
1,bottom_to_top,f2d08280ac,2,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,1,1,flatness_stability,0,0,2,high,Upright pile-like package despite contained fabric.,False,2,medium,False,,961,1194,2562,2795
2,side_one,6d05abc694,3,lateral_placement,2,2,sleeve_side_containment,1,1,longitudinal_alignment,2,2,flatness_body_preservation,1,1,4,high,Good placement and axis alignment; localized sleeve ridge remains.,False,4,medium,False,,0,166,3111,3277
2,side_two,f1092d31c1,4,second_side_placement,2,2,second_sleeve_containment,2,2,preservation_bilateral_alignment,2,2,flatness_straightness,2,2,5,high,Clean flat aligned two-sided strip.,False,5,medium,False,,166,522,3277,3633
2,bottom_to_top,c4ef9348db,1,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,0,0,flatness_stability,0,0,1,medium,Severely bunched pile; arm motion partly obscures the settled state.,True,1,medium,False,Temporal three-camera review confirmed the raw criterion scores.,522,833,3633,3944
3,side_one,0bd00f6189,2,lateral_placement,2,1,sleeve_side_containment,1,1,longitudinal_alignment,2,1,flatness_body_preservation,1,1,4,high,Good axis and placement with a localized loose edge.,True,3,medium,True,Temporal wrist views exposed broad bunching and uneven placement that the final base snapshots made look like a localized loose edge.,0,241,4172,4413
3,side_two,e91621b635,3,second_side_placement,2,2,second_sleeve_containment,1,1,preservation_bilateral_alignment,2,2,flatness_straightness,1,1,4,high,Straight stable strip with a localized protrusion.,False,4,medium,False,,241,903,4413,5075
3,bottom_to_top,dbfe655a6a,3,fold_placement_coverage,1,1,rectangularity_compactness,0,0,layer_edge_containment,1,1,flatness_stability,0,0,2,high,Layered but upright and visibly unstable.,False,2,medium,False,,903,1215,5075,5387
4,side_one,1742b7f80f,3,lateral_placement,2,2,sleeve_side_containment,1,1,longitudinal_alignment,1,1,flatness_body_preservation,1,1,3,high,Usable inward fold with skew and a bunched shoulder end.,False,3,medium,False,,0,176,5626,5802
